"DIRECTORIO","SECUENCIA_P","ORDEN","HOGAR","REGIS","P6016","P6020","P6030S1","P6030S3","Edad_","P6050","P6070","P6081","P6081S1","P6083","P6083S1","P6071","P6071S1","P6090","P6140","P6150","P6100","P6110","P6120","P6125","P6160","P6170","P6175","P6210","P6210S1","P6220","P6269","CLASE","ESC","MES","DPTO","fex_c_2011","AREA","P6080","P6080S1","INGLABO"
5105378,1,2,1,10,2,1,6,1958,61,3,4,3,,1,1,,,1,,,1,1,128000,2,1,2,,6,5,4,,1,16,1,5,"995,701573553396",5,6," ",3200000
5105380,1,1,1,10,1,2,10,1971,48,1,4,3,,2,,,,1,,,1,1,66000,2,1,2,,5,11,2,,1,11,1,5,"968,872451707863",5,6," ",3000000
5105382,1,1,1,10,1,1,12,1962,57,1,3,2,,2,,1,2,1,,,1,3,99000,2,1,2,,4,8,,,1,8,1,5,"1053,60861476464",5,6," ",1000000
5105383,1,1,1,10,1,1,7,1969,50,1,6,3,,2,,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,5,"1191,90026481073",5,6," ",1500000
5105384,1,1,1,10,1,1,7,1957,62,1,2,3,,2,,1,2,1,,,1,5,,2,1,2,,6,5,4,,1,16,1,5,"1033,65838820237",5,6," ",1600000
5105385,1,1,1,10,1,2,2,1968,51,1,3,2,,2,,1,2,1,,,1,3,160000,2,1,2,,6,7,5,,1,18,1,5,"1106,81847674963",5,6," ",1800000
5105385,1,2,1,10,2,1,8,1967,52,2,3,2,,3,,1,1,1,,,1,1,136000,2,1,2,,6,5,4,,1,16,1,5,"1106,81847674963",5,6," ",3400000
5105386,1,1,1,10,1,2,10,1981,38,1,4,2,,2,,,,1,,,1,1,33400,2,1,2,,5,11,2,,1,11,1,5,"968,872451707863",5,6," ",828116
5105387,1,1,1,10,1,1,2,1985,34,1,3,2,,2,,1,2,1,,,2,1,80000,1,1,2,,6,5,4,,1,16,1,5,"1561,17684120514",5,6," ",2050000
5105388,1,1,1,10,1,2,4,1967,52,1,6,2,,2,,,,1,,,1,3,108000,2,1,2,,6,3,3,,1,14,1,5,"1021,73668868854",5,6," ",2500000
5105388,1,2,1,10,2,2,9,1972,47,5,6,2,,2,,,,1,,,1,3,108000,2,1,2,,6,4,2,2,1,15,1,5,"1021,73668868854",5,6," ",2500000
5105388,1,3,1,10,3,1,12,1981,38,5,6,2,,2,,,,1,,,1,3,125000,2,1,2,,6,5,4,,1,16,1,5,"1021,73668868854",5,6," ",3000000
5105389,1,1,1,10,1,1,4,1996,23,1,2,3,,2,,1,2,1,,,1,1,40000,2,1,2,,6,1,3,,1,12,1,5,"1191,37431692797",5,6," ",900000
5105391,1,3,1,10,3,1,4,1976,43,3,2,1,1,1,2,1,4,1,,,1,1,560000,2,1,2,,6,10,5,,1,21,1,5,"949,102548024036",5,6," ",14000000
5105391,1,4,1,10,3,2,8,1982,37,5,2,2,,2,,1,3,1,,,1,5,,2,1,2,,6,6,5,,1,17,1,5,"949,102548024036",5,6," ",3000000
5105392,1,1,1,10,1,1,8,1980,39,1,2,3,,2,,1,2,1,,,1,1,45000,2,1,2,,5,11,2,,1,11,1,5,"1718,82086036183",5,6," ",1200000
5105393,1,1,1,10,1,2,9,1959,60,1,3,3,,3,,1,2,1,,,1,5,,2,2,2,,1,0,,,1,0,1,5,"1072,66709861687",5,6," ",500000
5105393,1,2,1,10,2,1,5,1951,68,2,3,3,,3,,1,1,1,,,1,5,,2,1,2,,3,5,,,1,5,1,5,"1072,66709861687",5,6," ",1300000
5105393,1,3,1,10,3,1,6,1989,30,3,6,1,2,1,1,,,1,,,3,,,2,1,2,,4,7,,,1,7,1,5,"1072,66709861687",5,6," ",900000
5105393,1,4,1,10,4,1,11,1993,26,3,6,1,2,1,1,,,1,,,1,1,36000,2,1,2,,3,5,,,1,5,1,5,"1072,66709861687",5,6," ",918000
5105398,1,1,1,10,1,2,8,1964,55,1,4,2,,3,,,,1,,,3,,,2,1,2,,1,0,,,1,0,1,5,"1086,3423023046",5,6," ",500000
5105398,1,3,1,10,3,1,10,2001,18,3,6,2,,1,1,,,1,,,3,,,2,1,2,,3,5,,,1,5,1,5,"1086,3423023046",5,6," ",35000
5105398,1,4,1,10,4,1,6,1983,36,3,4,3,,1,1,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,5,"1086,3423023046",5,6," ",850000
5105399,1,1,1,10,1,1,8,1964,55,1,3,3,,2,,1,2,1,,,1,1,33125,2,1,2,,3,5,,,1,5,1,5,"954,671300137372",5,6," ",980000
5105401,1,2,1,10,2,1,3,1969,50,2,3,2,,2,,1,1,1,,,3,,,2,1,2,,5,11,2,,1,11,1,5,"1491,64167813407",5,6," ",900000
5105402,1,1,1,10,3,2,11,1990,29,1,3,2,,2,,1,2,1,,,1,1,100000,2,1,1,1,6,5,4,,1,16,1,5,"1007,3552142396",5,6," ",2900000
5105402,1,2,1,10,3,1,,,39,2,3,2,,2,,1,1,1,,,1,1,160000,2,1,2,,6,10,4,,1,21,1,5,"1007,3552142396",5,6," ",4000000
5105403,1,1,1,10,1,2,7,1981,38,1,2,2,,2,,1,2,1,,,1,4,,1,1,2,,3,5,,,1,5,1,5,"2061,83560800013",5,6," ",1128116
5105403,1,3,1,10,3,1,2,1999,20,3,6,2,,1,1,,,1,,,1,1,33125,2,1,2,,5,11,2,,1,11,1,5,"2061,83560800013",5,6," ",828116
5105403,1,8,1,10,8,2,3,2001,18,3,4,2,,1,1,,,1,,,1,1,42000,2,1,2,,5,11,2,,1,11,1,5,"2061,83560800013",5,6," ",1078000
5105404,1,1,1,10,1,1,4,1962,57,1,3,3,,3,,1,2,1,,,1,5,,2,1,2,,5,11,2,,1,11,1,5,"1666,1369462596",5,6," ",3000000
5105404,1,2,1,10,2,2,11,1970,49,2,3,3,,3,,1,1,1,,,1,1,33125,2,1,2,,5,11,2,,1,11,1,5,"1666,1369462596",5,6," ",3000000
5105405,1,1,1,10,1,1,8,1963,56,1,3,3,,2,,1,2,1,,,3,,,2,1,2,,3,2,,,1,2,1,5,"811,156522982266",5,6," ",700000
5105406,1,1,1,10,1,2,1,1956,63,1,4,3,,3,,,,1,,,1,1,33125,2,1,2,,4,6,,,1,6,1,5,"1009,90272512389",5,6," ",924000
5105407,1,1,1,10,1,2,12,1977,42,1,6,2,,2,,,,1,,,1,1,32400,2,1,2,,5,11,2,,1,11,1,5,"968,346503825103",5,6," ",828116
5105407,1,2,1,10,2,1,11,1997,22,3,6,2,,1,1,,,1,,,1,1,33400,2,1,1,1,6,0,2,2,1,11,1,5,"968,346503825103",5,6," ",828116
5105407,1,3,1,10,3,2,9,2000,19,3,6,2,,1,1,,,2,1,3,,,,2,1,2,,6,2,3,,1,13,1,5,"968,346503825103",5,6," ",100000
5105409,1,2,1,10,2,1,7,1990,29,3,6,3,,1,1,,,1,,,1,1,33000,2,1,2,,5,11,2,,1,11,1,5,"1106,29252886687",5,6," ",828000
5105409,1,3,1,10,3,1,12,1995,24,3,6,2,,1,1,,,1,,,3,,,2,1,2,,5,11,2,,1,11,1,5,"1106,29252886687",5,6," ",700000
5105410,1,1,1,10,1,2,7,1972,47,1,4,2,,2,,,,1,,,1,1,39200,2,1,2,,5,11,2,,1,11,1,5,"968,346503825103",5,6," ",1308116
